Epoch 1/50 | Loss: 5.9972
Epoch 2/50 | Loss: 5.7838
Epoch 3/50 | Loss: 5.7180
Epoch 4/50 | Loss: 5.6743
Epoch 5/50 | Loss: 5.6409
Epoch 6/50 | Loss: 5.6197
Epoch 7/50 | Loss: 5.5949
Epoch 8/50 | Loss: 5.5820
Epoch 9/50 | Loss: 5.5759
Epoch 10/50 | Loss: 5.5629
Epoch 11/50 | Loss: 5.5518
Epoch 12/50 | Loss: 5.5437
Epoch 13/50 | Loss: 5.5374
Epoch 14/50 | Loss: 5.5289
Epoch 15/50 | Loss: 5.5247
Epoch 16/50 | Loss: 5.5175
Epoch 17/50 | Loss: 5.5106
Epoch 18/50 | Loss: 5.5067
Epoch 19/50 | Loss: 5.4998
Epoch 20/50 | Loss: 5.4998
Epoch 21/50 | Loss: 5.4940
Epoch 22/50 | Loss: 5.4904
Epoch 23/50 | Loss: 5.4872
Epoch 24/50 | Loss: 5.4808
Epoch 25/50 | Loss: 5.4799
Epoch 26/50 | Loss: 5.4769
Epoch 27/50 | Loss: 5.4729
Epoch 28/50 | Loss: 5.4703
Epoch 29/50 | Loss: 5.4649
Epoch 30/50 | Loss: 5.4629
Epoch 31/50 | Loss: 5.4601
Epoch 32/50 | Loss: 5.4592
Epoch 33/50 | Loss: 5.4550
Epoch 34/50 | Loss: 5.4529
Epoch 35/50 | Loss: 5.4495
Epoch 36/50 | Loss: 5.4466
Epoch 37/50 | Loss: 5.4455
Epoch 38/50 | Loss: 5.4444
Epoch 39/50 | Loss: 5.4416
Epoch 40/50 | Loss: 5.4390
Epoch 41/50 | Loss: 5.4374
Epoch 42/50 | Loss: 5.4365
Epoch 43/50 | Loss: 5.4330
Epoch 44/50 | Loss: 5.4318
Epoch 45/50 | Loss: 5.4332
Epoch 46/50 | Loss: 5.4309
Epoch 47/50 | Loss: 5.4268
Epoch 48/50 | Loss: 5.4245
Epoch 49/50 | Loss: 5.4249
Epoch 50/50 | Loss: 5.4221
